ter_var_small,ter_var_big,classific,elevation,distance,viewshed,norm_height
65,136,0,154,17400,197464,0.27208480565371024
28,42,1,57,5430,22734,0.18811881188118812
55,127,0,200,2300,204292,0.6734006734006734
31,68,1,30,250,7675,0.10101010101010101
21,72,1,15,80,2460,0.050505050505050504
28,72,1,20,140,5558,0.06734006734006734
26,68,1,20,160,6692,0.06734006734006734
31,66,1,20,270,5880,0.06734006734006734
67,122,0,124,17600,81239,0.21908127208480566
54,111,0,132,12700,149322,0.2332155477031802
57,109,1,98,10500,24394,0.2344497607655502
55,129,0,108,17600,42602,0.19081272084805653
26,42,1,25,1550,79392,0.11210762331838567
61,110,0,136,3300,148820,0.3358024691358025
33,77,1,74,5070,28055,0.0921544209215442
59,119,0,150,8950,135417,0.3703703703703704
62,132,0,31,40,218,0.13478260869565217
68,134,1,33,60,215,0.14347826086956522
48,120,0,162,18150,196682,0.2862190812720848
64,127,0,136,18500,121081,0.2402826855123675
28,42,1,29,1000,27123,0.06223175965665236
35,38,1,36,850,30058,0.07725321888412018
32,42,1,26,750,20919,0.05579399141630901
38,79,1,22,300,1177,0.07560137457044673
32,60,0,239,7450,1682,0.4907597535934292
51,79,1,12,3350,101294,0.0149439601494396
53,125,1,152,14600,16907,0.36363636363636365
83,172,1,201,12900,15828,0.48086124401913877
68,168,1,161,13750,1751,0.38516746411483255
63,105,1,87,1450,99107,0.10834371108343711
57,107,1,152,22150,16236,0.26855123674911663
69,133,0,142,16750,173065,0.2508833922261484
79,131,1,181,130,169096,0.6703703703703704
57,113,0,138,12250,136119,0.24381625441696117
67,134,0,117,18600,123610,0.20671378091872794
42,73,1,9,190,280,0.03202846975088968
60,114,1,102,2930,209153,0.12702366127023662
58,144,0,116,18250,136147,0.2049469964664311
44,102,1,97,7640,5917,0.3716475095785441
48,74,1,32,7700,18073,0.10596026490066227
44,123,1,67,8550,3485,0.08343711083437111
