site,LU zone,LU Min,LU Max,LU Range,Terrain variability 500 m buffer,Terrain variability 1000 m buffer,Classific,Lithics (N),Cores (N),Tools (N),Altitude a.s.l.,Elevation above river (m),Relative hight in LUmin (%),DtR (m)cor,DtR (d2),EAR2+DtR2,orientation,Viewshed,Normalized height in Lu Min
Alojzov I - Golštýn,MHana_N,178,744,566,65,136,EAU,8015,305,1879,332,154,27.208480565371023,17400,302760000,302783716,NE,197464,0.27208480565371024
Blažovice I,Litava_N,169,587,418,23,43,AMB,75,6,15,297,128,30.62200956937799,3200,10240000,10256384,top,148319,0.3062200956937799
Bratčice,Svratka_S,165,468,303,28,42,EPIG,8,0,0,220,57,18.81188118811881,5430,29484900,29488149,N,22734,0.18811881188118812
Brno - Jundrov,Svratka_N,190,487,297,48,127,AMB,335,14,60,238,47,15.824915824915825,270,72900,75109,SE,1834,0.15824915824915825
Brno - Kohoutovice I,Svratka_N,190,487,297,55,127,EAU,915,43,200,390,200,67.34006734006735,2300,5290000,5330000,top,204292,0.6734006734006734
Brno - Stránská skála IV,Svitava E,183,472,289,48,70,AMB,144,11,21,254,71,24.567474048442904,3430,11764900,11769941,N,114620,0.24567474048442903
Brno - Štýřice III,Svratka_N,190,487,297,31,68,EPIG,9149,124,248,220,30,10.1010101010101,250,62500,63400,NE,7675,0.10101010101010101
"Brno -Štýřice, Hospital",Svratka_N,190,487,297,21,72,EPIG,25,1,4,209,15,5.05050505050505,80,6400,6625,E,2460,0.050505050505050504
"Brno - Štýřice, Kamenná St.",Svratka_N,190,487,297,28,72,EPIG,140,4,16,210,20,6.7340067340067336,140,19600,20000,floodplain,5558,0.06734006734006734
"Brno - Štýřice, Polní St.",Svratka_N,190,487,297,26,68,EPIG,1,0,0,210,20,6.7340067340067336,160,25600,26000,E,6692,0.06734006734006734
"Brno - Štýřice, Vídeňská St 849/15 ",Svratka_N,190,487,297,31,66,EPIG,0,0,0,210,20,6.7340067340067336,270,72900,73300,E,5880,0.06734006734006734
Dolní Otaslavice I,MHana_N,178,744,566,67,122,EAU,493,76,88,302,124,21.908127208480565,17600,309760000,309775376,SE,81239,0.21908127208480566
"Drahanovice - nepublikováno , oliva 1987",MHana_N,178,744,566,54,111,EAU,966,34,152,310,132,23.32155477031802,12700,161290000,161307424,top,149322,0.2332155477031802
"Horákov IV - ""Macocha"" ",Litava_N,169,587,418,57,109,EPIG,76,5,3,267,98,23.444976076555022,10500,110250000,110259604,E,24394,0.2344497607655502
"Horní Otaslavice II, revizní výzkum O. Mlejnek",MHana_N,178,744,566,55,129,EAU,11,1,3,286,108,19.081272084805654,17600,309760000,309771664,top,42602,0.19081272084805653
Jaroslavice,Dyje_S,180,403,223,26,42,EPIG,966,34,152,205,25,11.210762331838566,1550,2402500,2403125,SE,79392,0.11210762331838567
Karolín I,MHana_S,180,585,405,61,110,EAU,1334,186,346,316,136,33.58024691358025,3300,10890000,10908496,E,148820,0.3358024691358025
Kunovice - V úzkých,Morava_E,158,961,803,33,77,EPIG,15,1,4,233,74,9.21544209215442,5070,25704900,25710376,NE,28055,0.0921544209215442
Lhotka,MHana_S,180,585,405,59,119,EAU,1051,80,354,330,150,37.03703703703704,8950,80102500,80125000,top,135417,0.3703703703703704
"Mohelno-Plevovce, KS A (concentration 3)",Jihlava_N,264,494,230,62,132,EAU,956,3,37,295,31,13.478260869565217,40,1600,2561,SW,218,0.13478260869565217
"Mohelno-Plevovce, concentrations 1-2",Jihlava_N,264,494,230,68,134,EPIG,3725,22,80,297,33,14.347826086956522,60,3600,4689,SW,215,0.14347826086956522
Ondratice II - Zadní Hony,MHana_N,178,744,566,48,120,EAU,178,2,18,340,162,28.621908127208478,18150,329422500,329448744,NE,196682,0.2862190812720848
Ondratice VIII - Kopaniny,MHana_N,178,744,566,64,127,EAU,1365,51,152,314,136,24.02826855123675,18500,342250000,342268496,NE,121081,0.2402826855123675
Opava - Předměstí I (Lundwall´s Brickyard),Opava_W,234,700,466,28,42,EPIG,47,6,16,263,29,6.223175965665236,1000,1000000,1000841,SE,27123,0.06223175965665236
Opava - Předměstí  II (Stratil´s and Němcová´s sand pits),Opava_W,234,700,466,35,38,EPIG,7,0,6,270,36,7.725321888412018,850,722500,723796,NE,30058,0.07725321888412018
Opava - Předměstí  III (railway station-heat house),Opava_W,234,700,466,32,42,EPIG,4,0,2,260,26,5.579399141630901,750,562500,563176,NE,20919,0.05579399141630901
Oslavany I - power station,Oslava_NE,198,489,291,38,79,EPIG,7,0,2,220,22,7.560137457044673,300,90000,90484,floodplain,1177,0.07560137457044673
Ostrov u Macochy III (Dolina),MKras,261,748,487,32,60,EAU,109,11,17,500,239,49.07597535934292,7450,55502500,55559621,top,1682,0.4907597535934292
Ostrožská Nová Ves,Morava_E,158,961,803,51,79,EPIG,111,3,16,185,12,1.4943960149439601,3350,11222500,11222644,W,101294,0.0149439601494396
Pístovice I,Litava_N,169,587,418,53,125,EPIG,4,0,0,321,152,36.36363636363637,14600,213160000,213183104,SE,16907,0.36363636363636365
